Year,Yield (Tonnes/Hectare)
1997-01-01,1.0312363
1998-01-01,1.5917645
1999-01-01,1.8465089
2000-01-01,1.7938011
2001-01-01,1.7847005
2002-01-01,1.7123595
2003-01-01,1.7934791
2004-01-01,1.7522566
2005-01-01,1.5852809
2006-01-01,1.604703
2007-01-01,1.6445496
2008-01-01,1.6077234
2009-01-01,2.0944414
2010-01-01,1.9157467
2011-01-01,1.6877486
2012-01-01,2.071868
2013-01-01,2.2177513
2014-01-01,2.03522
2015-01-01,2.3050861
2016-01-01,2.3375869
2017-01-01,2.4977534
2018-01-01,2.555248
2019-01-01,2.2137218
