Year,Yield (Tonnes/Hectare)
1997-01-01,0.9803259
1998-01-01,1.2955934
1999-01-01,1.419327
2000-01-01,1.5052527
2001-01-01,1.5367116
2002-01-01,1.4526453
2003-01-01,1.5558445
2004-01-01,1.5138092
2005-01-01,1.699294
2006-01-01,1.5300915
2007-01-01,1.8473685
2008-01-01,1.8649765
2009-01-01,1.9276823
2010-01-01,2.3590302
2011-01-01,1.921812
2012-01-01,2.0372396
2013-01-01,2.260279
2014-01-01,2.2960827
2015-01-01,2.4811594
2016-01-01,2.2991984
2017-01-01,2.3753557
2018-01-01,2.6473882
2019-01-01,2.4923544
